Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2018,102093,551 555 N PINE AVE,Not Submitted,551 555 N PINE AVE,60644,0.0,false,AUSTIN,,71880,,1,,,,,,,,,,,,,,41.88039405,-87.75826967,"(41.88039405, -87.75826967)"
2018,251654,Cook Elementary -CPS,Exempt,8150 S Bishop St,60620,,true,AUBURN GRESHAM,,112492,,1,407,,,,,,,,,,,,,41.74519291,-87.66017258,"(41.74519291, -87.66017258)"
2018,255758,Key Elementary School Main Building,Exempt,517 N Parkside Ave,60644,,true,Austin,,60000,,1,,,,,,,,,,,,,,41.88511,-87.76714,"(41.88511, -87.76714)"
2018,104384,6011 6015 N KENMORE AVE,Not Submitted,6011 6015 N KENMORE AVE,60660,0.0,false,EDGEWATER,,53760,,1,3302,,,,,,,,,,,,,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2018,173835,Sears,Exempt,1900 W Lawrence Ave,60640,,true,LINCOLN SQUARE,,154471,,1,,,,,,,,,,,,,,41.9690756,-87.67696468,"(41.9690756, -87.67696468)"
2018,141524,949 W MADISON,Not Submitted,949 W MADISON,60607,0.0,false,NEAR WEST SIDE,,137880,,1,1956,,,,,,,,,,,,,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2018,105858,546 550 W ARLINGTON PL,Not Submitted,546 550 W ARLINGTON PL,60614,0.0,false,LINCOLN PARK,,54212,,1,1174,,,,,,,,,,,,,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2018,172448,,Exempt,100 118 N PULASKI RD,60624,,true,WEST GARFIELD PARK,,123991,,1,,,,,,,,,,,,,,41.8808242,-87.72327934,"(41.8808242, -87.72327934)"
2018,135166,One West Monroe,Not Submitted,1 W Monroe St,60603,0.0,false,LOOP,,57600,,1,759,,,,,,,,,,,,,41.88073481,-87.62786771,"(41.88073481, -87.62786771)"
2018,251468,Fiske Elementary -CPS,Exempt,6145 S Ingleside Ave,60637,,true,WOODLAWN,,73930,,1,14,,,,,,,,,,,,,41.78300182,-87.60225838,"(41.78300182, -87.60225838)"
2018,112016,4106 N NARRAGANSETT AVE,Not Submitted,4106 N NARRAGANSETT AVE,60634,0.0,false,DUNNING,,84000,,1,,,,,,,,,,,,,,41.94530408,-87.80186746,"(41.94530408, -87.80186746)"
2018,171956,,Exempt,465 W CERMAK RD,60616,,true,ARMOUR SQUARE,,59754,,1,44,,,,,,,,,,,,,41.85228915,-87.63994745,"(41.85228915, -87.63994745)"
2018,251945,916 S Wabash Ave,Not Submitted,916 S Wabash Ave,60605,0.0,false,LOOP,,66358,,1,866,,,,,,,,,,,,,41.870306,-87.62591,"(41.870306, -87.62591)"
2018,175686,1001 W BELMONT AVE,Not Submitted,1001 W BELMONT AVE,60657,0.0,false,LAKE VIEW,,79012,,1,1829,,,,,,,,,,,,,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2018,254369,Therapeutic Youth Home,Not Submitted,3640 W FILLMORE ST,60624,0.0,false,North Lawndale,,54000,,1,1958,,,,,,,,,,,,,41.87443626,-87.71790135,"(41.87443626, -87.71790135)"
2018,251492,Attucks -CPS,Exempt,5055 S State St,60609,,true,GRAND BOULEVARD,,62986,,1,104,,,,,,,,,,,,,41.80222267,-87.62509745,"(41.80222267, -87.62509745)"
2018,119564,Plaza Arms,Not Submitted,501 525 N CENTRAL AVE,60644,0.0,false,AUSTIN,,110200,,1,5026,,,,,,,,,,,,,41.88039405,-87.75826967,"(41.88039405, -87.75826967)"
2018,159298,YUSUF INDIANA,Not Submitted,1911 S Indiana Ave,60616,0.0,false,NEAR SOUTH SIDE,,205265,,1,785,,,,,,,,,,,,,41.85635481,-87.62186424,"(41.85635481, -87.62186424)"
2018,251462,Graham Elementary -CPS,Exempt,4436 S Union Ave,60609,,true,NEW CITY,,116500,,1,3488,,,,,,,,,,,,,41.81341181,-87.64414047,"(41.81341181, -87.64414047)"
2018,255003,L - Logan Square Apartment Community Navigator Taproom,Not Submitted,2211 N MILWAUKEE AVE,60647,0.0,false,Logan Square,,119727,,1,2472,,,,,,,,,,,,,41.92105626,-87.69421012,"(41.92105626, -87.69421012)"
2018,251630,St Bride School Building,Not Submitted,7765 S Coles Ave,60649,0.0,false,SOUTH SHORE,,103410,,1,81,,,,,,,,,,,,,41.75502424,-87.55293307,"(41.75502424, -87.55293307)"
2018,104374,6000 N SHERIDAN RD,Not Submitted,6000 N SHERIDAN RD,60660,0.0,false,EDGEWATER,,55686,,1,3401,,,,,,,,,,,,,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2018,251683,Cooper Dual Language Academy -CPS,Exempt,1624 W 19th St,60608,,true,LOWER WEST SIDE,,131200,,1,961,,,,,,,,,,,,,41.85622477,-87.66713005,"(41.85622477, -87.66713005)"
2018,159745,Clarendon Court Apartments,Exempt,4500 N CLARENDON AVE,60640,,true,UPTOWN,,113992,,1,9412,,,,,,,,,,,,,41.96394063,-87.65039391,"(41.96394063, -87.65039391)"
2018,255984,,Exempt,737 N Ada St,60642,,true,WEST TOWN,,50000,,1,76,,,,,,,,,,,,,41.88425,-87.63245,"(41.88425, -87.63245)"
2018,251667,Fort Dearborn Elementary -CPS,Exempt,9001 S Throop St,60620,,true,WASHINGTON HEIGHTS,,130562,,1,332,,,,,,,,,,,,,41.730334,-87.65556,"(41.730334, -87.65556)"
2017,159418,"Third Prairie Shores, LLC",Submitted,3001 South King Dr,60616,,,DOUGLAS,Multifamily Housing,289267,1960,1,,,4917323,29519515,,,,119,160.5,128.7,170.4,2477.1,8.6,41.83920388,-87.61661637,"(41.83920388, -87.61661637)"
2018,252064,Mansueto Library,Submitted,1100 East 57th Street,60637,2.0,false,HYDE PARK,Library,64028,2009,1,,,2863289,,13603648.3,7150679.5,,368.9,482.4,370.5,483.6,1756.5,27.4,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2017,251265,3150 N Sheridan,Submitted,3150 North Sheridan Road,60657,,,LAKE VIEW,Multifamily Housing,227900,1974,1,,73,7413863,,,,,32.5,102.1,34.6,108.7,1370.8,6,41.93922563,-87.63986123,"(41.93922563, -87.63986123)"
2017,159594,Wrightwood III LLC,Submitted,451 W Wrightwood Ave,60614,,,LINCOLN PARK,Multifamily Housing,116380,1933,1,,86,1727762,7312302,,,,77.7,112.6,83.1,118.1,707.8,6.1,41.93048495,-87.64109185,"(41.93048495, -87.64109185)"
2018,116166,447 455 W MELROSE ST,Not Submitted,447 455 W MELROSE ST,60657,0.0,false,LAKE VIEW,,52872,,1,2064,,,,,,,,,,,,,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2016,107970,Taylor Park,Submitted,41 W 47th St,60609,,,GRAND BOULEVARD,Other,150000,1964,1,,,1163621.7,2236958.2,,,,22.7,40,24.2,41,334,2.2,41.81195152,-87.65512794,"(41.81195152, -87.65512794)"
2016,252301,1934 N. Washtenaw CA,Submitted,1934 N. Washtenaw Avenue,60647,,,LOGAN SQUARE,Multifamily Housing,84012,2001,1,,91,1865964.8,2440443.7,,,,51.3,100.2,53.6,101.4,473.6,5.6,41.91657013,-87.69476694,"(41.91657013, -87.69476694)"
2016,251777,Tolton Manor,Submitted,6345 South Stewart,60621,,,ENGLEWOOD,Multifamily Housing,69960,1995,1,,38,1737028.7,4799012.6,,,,93.4,150,102.3,159.4,575.1,8.2,41.77851372,-87.63461273,"(41.77851372, -87.63461273)"
2016,241989,30 East Elm Condominium Association,Submitted,30 E Elm St,60611,,,NEAR NORTH SIDE,Multifamily Housing,102100,1958,1,,28,2526894.8,9459331.3,,,,117.4,175,128.2,183.2,968.2,9.5,41.90322796,-87.62742084,"(41.90322796, -87.62742084)"
2018,160455,Infinite Chicago,Submitted,28 E Jackson Blvd,60604,3.0,false,LOOP,Multifamily Housing,215000,1911,2,6219,69,6378068.7,9247512.3,,,,72.7,128.2,73.1,128.9,1552.3,7.2,41.878258,-87.626777,"(41.878258, -87.626777)"
2017,253951,18th Street Lofts,Submitted,1801 S Michigan Avenue,60616,,,NEAR SOUTH SIDE,Multifamily Housing,67722,1998,1,,97,1360883,2116740,,,,51.4,95.9,54.1,98.5,364.1,5.4,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2018,255937,seven 10 west,Exempt,710 W Grand Ave,60654,,true,WEST TOWN,,111934,,1,1410,,,,,,,,,,,,,41.89213,-87.63513,"(41.89213, -87.63513)"
2016,175973,Winchester Hood Garden Homes Trust R-704,Submitted,1940-60 W Hood ave,60660,,,WEST RIDGE,Multifamily Housing,73600,1951,1,,18,2030146.8,7737499.7,,,,132.7,197,143.3,208.1,785.2,10.7,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2018,106128,,Exempt,5530 5548 N SHERIDAN RD,60640,,true,EDGEWATER,,58240,,1,1489,,,,,,,,,,,,,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
2016,251267,Erie on the Park Condominium Association,Submitted,510 W Erie St,60654,,,NEAR NORTH SIDE,Multifamily Housing,243690,2002,1,,25,3800408.4,14470918.2,,7586686.1,,106.1,142.5,112.1,148.9,1868.9,7.7,41.893928,-87.641583,"(41.893928, -87.641583)"
2016,251464,FiskeSexton-CPS,Submitted,6020 S LANGLEY AVE,60637,,,WOODLAWN,K-12 School,105274,1915,1,,25,4222230.6,3775022.3,,,,76,163.6,83,174.5,978.8,9.3,41.78535521,-87.60906725,"(41.78535521, -87.60906725)"
2016,251687,PeirceSchOf-CPS,Submitted,1423 W Bryn Mawr Ave,60660,,,EDGEWATER,K-12 School,133238,1930,1,,65,3703756.7,3522390.3,,,,54.2,115,57.5,118.4,869.8,6.5,41.98305225,-87.66613248,"(41.98305225, -87.66613248)"
2016,173948,#8598-LINCOLN & MCCORMICK,Submitted,6211 Lincoln Ave,60659,,,NORTH PARK,Retail Store,142657,2004,1,,79,5718798.6,3543156,,,,64.9,152,67,152.4,1242.3,8.7,41.99582772,-87.71424303,"(41.99582772, -87.71424303)"
2015,159639,00806-Brookdale Lake Shore Drive,Submitted,2960 North Lake Shore Drive,60657,,,LAKE VIEW,Multifamily Housing,476214,1988,1,,21,13030732,28111696,,,,86.4,147.9,89.7,150.6,4111,8.6,41.935961630000001,-87.637368929999994,"(41.93596163, -87.63736893)"
2017,105586,HRTL - Parkway Apts: 712 W Diversey,Submitted,712 West Diversey Parkway,60614,,,LAKE VIEW,Multifamily Housing,52624,1929,1,,27,2648455,1565881,,,,80.1,189.3,80.1,189.3,572.9,10.9,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2018,167479,Lincoln Park Condos,Not Submitted,2650 2700 N CLARK ST,60614,0.0,false,LINCOLN PARK,,143000,,1,2283,,,,,,,,,,,,,41.93184564,-87.6446088,"(41.93184564, -87.6446088)"
2017,156942,Burton-Judson Courts,Submitted,1005 East 60TH Street,60637,,,WOODLAWN,Residence Hall/Dormitory,201402,1931,1,,71,3762805,,11050470,,,73.6,124.7,79.1,131.9,1429.5,7.1,41.78528948,-87.60016256,"(41.78528948, -87.60016256)"
2017,160429,Academy Square Senior,Submitted,318 S Throop St,60607,,,NEAR WEST SIDE,Multifamily Housing,87388,1984,1,,1,5783262,3137440,,,,102.1,245.5,109,261.3,1235.9,14.1,41.87710779,-87.65983466,"(41.87710779, -87.65983466)"
2018,239488,1111 S. Wabash Condominium Association,Submitted,1111 S. Wabash,60605,2.0,false,LOOP,Multifamily Housing,402312,2005,1,13750,13,13575849.8,32556419.7,,,,114.7,179.5,115.6,180.4,3987.8,9.9,41.86876308,-87.625369,"(41.86876308, -87.625369)"
2018,174206,The Ambassador Condominium Homeowners Association,Submitted,1300 N State Parkway,60610,1.0,false,NEAR NORTH SIDE,Multifamily Housing,148466,2004,1,2338,30,4792416.7,8788061.8,,,,91.5,152.5,89.6,149,1264.1,8.5,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2016,251237,1242 Lake Shore Drive,Submitted,1242 N. Lake Shore Drive,60610,,,NEAR NORTH SIDE,Multifamily Housing,136591,1929,1,,35,2113409.9,12908311.4,,,,110,147.8,122.5,160.9,1075.2,7.9,41.90531026,-87.62553343,"(41.90531026, -87.62553343)"
2016,173710,1430 Lake Shore Drive Building Corporation,Submitted,1430 Lake Shore Drive,60610,,,NEAR NORTH SIDE,Multifamily Housing,103565,1928,1,,9,2874500.8,6743199.9,,,,92.9,155.5,101.4,164.5,888,8.6,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2016,251739,North Grand-CPS,Submitted,4330 W Wabansia Ave,60639,,,HUMBOLDT PARK,K-12 School,205094,2000,1,,20,13165161.1,10855285.9,,,,117.1,257.1,121.6,257.8,3003.2,14.6,41.911616,-87.735051,"(41.911616, -87.735051)"
2014,103614,Ann & Robert H. Lurie Children's Hospital of Chicago,Submitted,225 E Chicago Ave,60611,,,NEAR NORTH SIDE,Hospital (General Medical & Surgical),1250000,2012,1,,34,118414722,193087199,,,1940418,251,461,244,451,34191,27.35,41.896764,-87.621559,"(41.896764, -87.621559)"
2016,101987,20 S. Clark,Submitted,20 S. Clark Street,60603,,,LOOP,Office,464592,1970,1,,78,26910440.6,,,,,57.9,181.9,60.4,189.7,4960.2,10.7,41.88129971,-87.6311826,"(41.88129971, -87.6311826)"
2018,251443,Madison Elementary -CPS,Exempt,7401 S Dorchester,60619,,true,SOUTH SHORE,,72211,,1,291,,,,,,,,,,,,,41.760452,-87.590792,"(41.760452, -87.590792)"
2017,160196,The Art Institute of Chicago,Submitted,111 South Michigan Ave,60603,,,LOOP,Museum,1008416,1892,1,,,84934097,159962683,,,,242.9,431,247.3,435,24200.3,24,41.880452,-87.624229,"(41.880452, -87.624229)"
2016,101742,James R Thompson Center,Submitted,100 W. Randolph St.,60601,,,LOOP,Office,1200000,1985,1,,51,84099419.6,39312631,,,,102.8,254.5,108,259.8,17589.4,14.7,41.88517287,-87.63173182,"(41.88517287, -87.63173182)"
2017,114204,"Goethe-Astor, Inc.",Submitted,1301 N Astor Street,60610,,,NEAR NORTH SIDE,Multifamily Housing,62970,1928,1,,,1627207,3528311,,,,81.9,140,88.6,147.6,488.3,7.8,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2018,175495,House of Blues Chicago,Submitted,329 N. Dearborn St.,60654,2.0,false,NEAR NORTH SIDE,Performing Arts,54600,1996,1,27245,,7216076.3,4463290.9,,,,213.9,455.9,213.9,455.9,1437.6,26.3,41.88833261,-87.62950362,"(41.88833261, -87.62950362)"
2018,174135,Times Square Apartments,Submitted,869 Buena,60613,3.0,false,UPTOWN,Multifamily Housing,142000,1923,1,5362,63,2714194.8,10305964.9,,,,91.7,129.7,92.1,130.2,998.9,7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2015,176021,MetraMarket of Chicago,Submitted,118 N. Canal Street,60661,,,NEAR WEST SIDE,Mixed Use Property,62792,2006,1,,,9587659,7981279,,,,279.8,612.9,292.3,630.29999999999995,2350,37.4,41.883698000000003,-87.639810999999995,"(41.883698, -87.639811)"
2015,159637,Hawthorne House,Submitted,3450 N Lake Shore Drive,60657,,,LAKE VIEW,Multifamily Housing,530632,1968,1,,19,16596630,32654746,,,,92.8,162.80000000000001,96,166.2,5069,9.6,41.945132270000002,-87.642212979999996,"(41.94513227, -87.64221298)"
2018,159287,Scio at Medical District Apartments,Submitted,901-903 S Ashland Ave,60607,3.0,false,NEAR WEST SIDE,Multifamily Housing,343718,1971,2,10184,65,8988958.4,19608388.5,,,,83.2,133.1,82.8,130.3,2536.9,7.4,41.86976757,-87.66601375,"(41.86976757, -87.66601375)"
2016,175535,3100 S King Condominium Association,Submitted,3100 S King Dr,60616,,,DOUGLAS,Multifamily Housing,64800,1978,1,,53,2714055.6,724545.1,,,,53.1,143.3,57.4,156.3,538.7,8.3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2018,115754,Urban Van Buren LP,Submitted,1504 W Van Buren St,60607,1.0,false,NEAR WEST SIDE,Multifamily Housing,51859,1984,1,6145,30,2391242.2,4845862.1,,,,139.6,227.2,138.8,224.2,655.2,12.6,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2015,101912,550 West Washington,Submitted,550 West Washington,60661,,,NEAR WEST SIDE,Office,392503,2000,1,,88,25425316,,,,,64.8,203.4,64.900000000000006,203.9,5108,13,41.88353377,-87.641669699999994,"(41.88353377, -87.6416697)"
2016,101739,One South Dearborn,Submitted,1 South Dearborn,60603,,,LOOP,Office,942732,2005,1,,84,55026620.6,,,,,58.4,183.3,59,185.4,10142.6,10.8,41.88165139,-87.62884674,"(41.88165139, -87.62884674)"
2016,254099,Powell-CPS,Submitted,7511 S South Shore Dr.,60649,,,South Shore,K-12 School,113516,1975,1,,81,3242458.1,3122018.8,,,,56.1,118.6,59.4,122,763.5,6.7,41.7626302,-87.57255,"(41.7626302, -87.57255)"
2015,156500,Flat Iron Building,Submitted,1565 1581 N Milwaukee Ave,60622,,,WEST TOWN,Office,70575,1913,1,,84,753666,6027665,,,,96.1,123.2,103,130.4,472,6.7,41.910261120000001,-87.676748020000005,"(41.91026112, -87.67674802)"
2016,101492,Wright College,Submitted,4300 North Narragansett,60634,,,DUNNING,College/University,544380,1993,4,,,20698062.1,30723190.6,,,,94.5,178.6,96.4,178.3,5458.8,10,41.95813043,-87.78958012,"(41.95813043, -87.78958012)"
2018,172387,Wrigley GIC,Submitted,1132 West Blackhawk,60622,,true,NEAR NORTH SIDE,Office,191780,2005,1,10849,,22885631.7,32320900.7,,,,287.9,511.1,289.3,512.2,5524.1,28.8,41.90715786,-87.65671987,"(41.90715786, -87.65671987)"
2017,175539,6244-46 S King Drive,Submitted,6244-56 S. King Drive,60637,,,WASHINGTON PARK,Multifamily Housing,55000,1923,1,,65,1089083,5441732,,,,118.7,166.1,128.1,175.9,490.4,8.9,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
2017,251289,1164 West Madison,Submitted,1164 W. Madison St.,60607,,,NEAR WEST SIDE,Multifamily Housing,253422,2014,1,,69,7007989,7321825,,,,56.5,117.2,58.9,119.9,1684.6,6.6,41.88194574,-87.65691125,"(41.88194574, -87.65691125)"
2016,118349,Chicago Bar Association,Submitted,321 S. Plymouth Ct.,60604,,,LOOP,Office,99051,1990,1,,34,9867309.5,,,,,99.6,312.8,99.6,312.8,1818.8,18.4,41.87761956,-87.62845092,"(41.87761956, -87.62845092)"
2015,251434,Nicholson Ma-CPS,Submitted,6006 S Peoria St,60621,,,ENGLEWOOD,K-12 School,71602,1958,1,,55,1727924,4456683,,,,86.4,141.1,91.2,146.19999999999999,584,8.199999999999999,41.784490329999997,-87.647681520000006,"(41.78449033, -87.64768152)"
2018,173495,Parish_StJuliana,Submitted,7200 N Osceola Ave,60631,3.0,false,EDISON PARK,Other,113580,1927,4,575,,1446050.6,8748896.2,,,,89.8,116.5,93,119.9,705.3,6.2,42.011611,-87.811524,"(42.011611, -87.811524)"
2017,103743,33 N. Dearborn,Submitted,33 N. Dearborn,60602,,,LOOP,Office,372137,1966,1,,92,8443697,13958306,,7805688,,81.2,131.6,85.5,136.2,2714,7.3,41.88287054,-87.62903883,"(41.88287054, -87.62903883)"
2015,160379,Optima Chicago Center,Submitted,200 E Illinios St.,60611,,,NEAR NORTH SIDE,Multifamily Housing,567862,2014,1,,81,14049217,12590687,,,,46.9,101,47.9,102,3491,6.1,41.891016999999998,-87.619777999999997,"(41.891017, -87.619778)"
2017,128170,Brewery Apartments,Submitted,1301 W Fletcher Street,60657,,,LAKE VIEW,Multifamily Housing,60500,1898,1,,15,1545691,5007085,,,,108.3,167.1,115.5,174.7,551.7,9.1,41.93884641,-87.66171973,"(41.93884641, -87.66171973)"
2018,119323,#1976 Lincoln Park,Submitted,2647 2679 N Halsted St,60614,1.0,false,LINCOLN PARK,Retail Store,80069,2003,1,477,14,7271009.5,725879,,,,99.9,263.8,97.7,257.8,1248.2,15.6,41.93099766,-87.64894109,"(41.93099766, -87.64894109)"
2017,251563,Castellanos-CPS,Submitted,2524 S Central Ave,60623,,,AUSTIN,K-12 School,84116,1903,1,,35,1453094,3366431,,,,57.3,96.3,65.5,104.9,447.5,5.3,41.869894,-87.764317,"(41.869894, -87.764317)"
2016,251377,HurleyEdward-CPS,Submitted,3849 W 69th Pl,60629,,,WEST LAWN,K-12 School,55250,1954,1,,56,1935592.1,2121240.6,,,,73.4,150.3,79.7,156.9,469.4,8.5,41.76655157,-87.71928277,"(41.76655157, -87.71928277)"
2016,101682,Triangle Plaza,Submitted,8750-8770 West Bryn Mawr Ave,60631,,,OHARE,Office,676939,1985,1,,87,36895150.2,311522.3,,,,55,171.6,55.9,174.7,6817.1,10.1,41.98305124,-87.84427691,"(41.98305124, -87.84427691)"
2018,101950,332 Property LLC,Submitted,332 South Michigan Ave.,60604,2.5,false,LOOP,Office,529401,1910,1,6848,51,18482084.1,31711096.2,,,,94.8,160.6,95.6,161.5,4759.1,9,41.87724917,-87.6247034,"(41.87724917, -87.6247034)"
2017,252105,611 S. Wells Street Condo (The Vetro),Submitted,611 S. Wells,60607,,,LOOP,Multifamily Housing,290149,2007,1,,18,13145375,8376120,,,,74.2,172.6,78.2,181.1,2875.4,9.9,41.8740597,-87.63330942,"(41.8740597, -87.63330942)"
2015,250051,Simeon Caree-CPS,Submitted,8235 S VINCENNES AVE,60620,,,CHATHAM,K-12 School,284691,2003,1,,26,13717564,16385844,,,,105.7,211.7,109.6,214.3,3626,12.7,41.744236000000001,-87.635863000000001,"(41.744236, -87.635863)"
2018,102455,Harper Center (Booth School),Submitted,5807 South Woodlawn Ave.,60637,,true,HYDE PARK,College/University,419312,2004,1,7580,,23410755.6,618850,23657916.3,,,113.7,225.8,114.2,226.3,5498.4,13.1,41.7891404,-87.59555249,"(41.7891404, -87.59555249)"
2017,175472,Tower Lofts Condo,Submitted,1601 West School Street,60657,,,LAKE VIEW,Multifamily Housing,176062,1915,1,,19,7337622,6612467,,,,79.2,170.3,82.3,173.5,1707.9,9.7,41.83439716,-87.66593914,"(41.83439716, -87.66593914)"
2018,113335,Ravinia Lofts Condominium Association,Submitted,2024-2030 S. Wabash Ave.,60616,4.0,false,NEAR SOUTH SIDE,Multifamily Housing,61500,1920,1,1384,91,1244499.7,2591573.6,,,,62.4,100.9,60,96.9,344.7,5.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,132533,"Elston Industrial lofts, Llc",Submitted,1737-1747 N Elston/ 1430-1454 W Willow,60642,,,WEST TOWN,Mixed Use Property,83011.4,1923,1,,,1495633.1,1348266.6,,,,34.3,73.6,36.4,75.9,347.3,4.2,41.91442839,-87.66380985,"(41.91442839, -87.66380985)"
2016,101545,Reside at 849,Submitted,849-863 West Buena Avenue,60613,,,UPTOWN,Multifamily Housing,61056,1925,1,,80,603204.1,3526900,,,,67.6,91.7,73.8,98.2,298.5,4.9,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2015,103600,10 South LaSalle Street,Submitted,10 South LaSalle Street,60603,,,LOOP,Office,871962,1986,1,,71,54408400,728300,,,,63.2,196.8,64.8,201.6,10970,12.6,41.881605729999997,-87.632727799999998,"(41.88160573, -87.6327278)"
2016,260032,Algonquin #3,Submitted,1616 E. 50th Street,60615,,,KENWOOD,Multifamily Housing,59310,1950,1,,53,759869.5,5501499.7,,,,105.6,137.6,116,147.5,432.3,7.3,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2016,252024,CICS Loomis,Submitted,9535 S. Loomis St.,60643,,,WASHINGTON HEIGHTS,K-12 School,52000,1961,1,,34,1354576.3,3199673.9,,,,87.6,146.4,95.6,154.3,419.6,8.1,41.72018758,-87.65671845,"(41.72018758, -87.65671845)"
2016,250087,Fannie Emanuel,Submitted,3916 W. Washington,60624,,,WEST GARFIELD PARK,Multifamily Housing,94952,1963,1,,100,707061.9,,,,,7.4,23.4,7.4,23.4,130.3,1.4,41.88234002,-87.72390213,"(41.88234002, -87.72390213)"
2016,253991,(IL546) - Pac Lofts,Submitted,1735 N. Paulina,60622,,,West Town,Multifamily Housing,104905,2006,1,,42,3610766.1,4968712.9,,,,81.8,157.8,85.1,157.7,929.5,8.9,41.9134254,-87.67006,"(41.9134254, -87.67006)"
2016,251929,600 S Michigan,Submitted,600 S Michigan,606051996,,,LOOP,College/University,175129,1960,1,,,10767924,6256441.6,,,,97.2,230.6,102.9,236.6,2317.1,13.2,41.87405317,-87.62482805,"(41.87405317, -87.62482805)"
